participantId,trialId,trialOrder,responseId,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","introduction","0","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-04-15T14:37:03.172Z","2025-04-15T14:37:05.354Z","2182","2182","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.46","1","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:37:05.420Z","2025-04-15T14:37:10.768Z","5348","5348","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.46","1","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.46}","undefined","undefined","2025-04-15T14:37:05.420Z","2025-04-15T14:37:10.768Z","5348","5348","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.3","2","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Left Image","Left Image","undefined","undefined","2025-04-15T14:37:10.825Z","2025-04-15T14:37:14.083Z","3258","3258","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.7,0.3","2","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.7,""opacity_right"":0.3}","undefined","undefined","2025-04-15T14:37:10.825Z","2025-04-15T14:37:14.083Z","3258","3258","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.48","3","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Left Image","undefined","undefined","2025-04-15T14:37:14.135Z","2025-04-15T14:37:19.977Z","5842","5842","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.5,0.48","3","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.5,""opacity_right"":0.48}","undefined","undefined","2025-04-15T14:37:14.135Z","2025-04-15T14:37:19.977Z","5842","5842","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.38","4","button_selected","completed","undefined","undefined","100.00","undefined","undefined","Select the figure with higher opacity level","Right Image","Right Image","undefined","undefined","2025-04-15T14:37:20.029Z","2025-04-15T14:37:22.771Z","2742","2742","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
"1f7c5f4b-3e7d-4107-9c0c-97169a57ce78","42-0.3,0.38","4","seed_L_R","completed","undefined","undefined","100.00","undefined","undefined","seed_L_R (hidden)","","{""seed"":42,""opacity_left"":0.3,""opacity_right"":0.38}","undefined","undefined","2025-04-15T14:37:20.029Z","2025-04-15T14:37:22.771Z","2742","2742","26c0fa4437181446d92461a9a4470c83d4f61bea9edfc9ebb4d27c409b62cc49"
